,Course,Daytime_evening_attendance,Admission_grade,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Status,Status_New,Status_0,Status_1,Status_2
0,171,1,127.3,0,0,1,1,0,20,0.0,0.0,0,0,True,False,False
1,9254,1,142.5,0,0,0,1,0,19,14.0,13.666666666666666,2,1,False,False,True
2,9070,1,124.8,0,0,0,1,0,19,0.0,0.0,0,0,True,False,False
3,9773,1,119.6,0,0,1,0,0,20,13.428571428571429,12.4,2,1,False,False,True
4,8014,0,141.5,0,0,1,0,0,45,12.333333333333334,13.0,2,1,False,False,True
5,9991,0,114.8,0,1,1,1,0,50,11.857142857142858,11.5,2,1,False,False,True
6,9500,1,128.4,0,0,1,0,1,18,13.3,14.345,2,1,False,False,True
7,9254,1,113.1,0,0,0,1,0,22,0.0,0.0,0,0,True,False,False
8,9238,1,129.3,0,0,1,0,1,21,13.875,14.142857142857142,2,1,False,False,True
9,9238,1,123.0,0,1,0,0,0,18,11.4,13.5,0,0,True,False,False
10,9670,1,130.6,0,0,1,0,0,18,12.333333333333334,14.2,2,1,False,False,True
11,9500,1,119.3,0,0,1,0,1,18,13.214285714285714,13.214285714285714,2,1,False,False,True
12,9853,1,130.2,0,0,1,0,0,19,0.0,0.0,0,0,True,False,False
13,9254,1,111.8,0,0,1,0,1,21,10.571428571428571,11.0,2,1,False,False,True
14,9085,1,137.1,0,0,1,0,1,18,13.25,12.0,2,1,False,False,True
15,9773,1,120.7,0,0,1,0,0,20,13.2,0.0,0,0,True,False,False
16,9238,1,137.4,0,0,1,0,0,18,12.0,11.0,1,1,False,True,False
17,9500,1,127.3,0,0,1,0,0,18,13.30625,14.545,2,1,False,False,True
18,9130,1,136.3,0,0,1,0,0,20,12.5,12.25,2,1,False,False,True
19,9853,1,124.6,0,0,1,0,0,18,11.666666666666666,13.5,1,1,False,True,False
20,171,1,120.3,0,0,1,0,1,21,0.0,0.0,2,1,False,False,True
21,9556,1,121.8,0,0,1,0,0,20,11.4375,11.425,1,1,False,True,False
22,9500,1,125.5,0,0,1,0,0,18,12.857142857142858,12.857142857142858,2,1,False,False,True
23,9670,1,114.9,0,0,1,0,1,19,13.375,12.285714285714286,2,1,False,False,True
24,9500,1,123.9,0,0,1,0,0,19,13.296666666666669,14.114285714285714,2,1,False,False,True
25,9238,1,157.0,0,1,1,0,1,18,11.6,11.0,1,1,False,True,False
26,9238,1,116.4,0,0,1,0,0,21,11.375,13.285714285714286,2,1,False,False,True
27,9085,1,131.0,0,0,1,0,0,18,12.666666666666666,13.0,1,1,False,True,False
28,9147,1,122.1,0,0,1,0,0,20,12.0,12.333333333333334,2,1,False,False,True
29,9500,1,118.8,0,0,1,1,0,19,12.933333333333332,13.716666666666669,1,1,False,True,False
